Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
614,2458654.30184919,5951000
615,2458654.30185023,6066300
616,2458654.30185038,6111700
617,2458654.30185098,6166500
618,2458654.30185156,6257500
619,2458654.30185217,6237700
620,2458654.30185328,6235600
621,2458654.30185335,6204100
622,2458654.30185395,6144900
623,2458654.30185454,6073200
624,2458654.30185512,6069700
625,2458654.30185626,5878200
626,2458654.30185633,5839800
627,2458654.30185693,5842500
628,2458654.30185751,5708700
629,2458654.30185811,5673200
630,2458654.30185914,5642000
631,2458654.3018593,5648500
632,2458654.30185989,5642300
633,2458654.30186049,5680800
634,2458654.30186107,5649300
635,2458654.30186203,5743100
636,2458654.30186226,5860100
637,2458654.30186286,5842100
638,2458654.30186347,5952800
639,2458654.30186404,5990500
640,2458654.30186509,6068800
641,2458654.30186525,6135700
642,2458654.30186583,6120900
643,2458654.30186643,6057700
644,2458654.30186702,6063500
645,2458654.30186798,6002300
646,2458654.30186821,5995500
647,2458654.30186881,5832800
648,2458654.30186939,5782800
649,2458654.30187001,5761000
650,2458654.30187116,5739700
651,2458654.30187121,5775600
652,2458654.30187177,5755700
653,2458654.30187236,5721200
654,2458654.30187298,5757200
655,2458654.30187393,5683400
656,2458654.30187415,5715200
657,2458654.30187474,5719300
658,2458654.30187534,5787000
659,2458654.30187593,5851300
660,2458654.30187689,5873400
661,2458654.30187712,5925400
662,2458654.30187772,5906600
663,2458654.30187831,5995000
664,2458654.30187892,5970100
665,2458654.30187979,5982400
666,2458654.30188011,5933400
667,2458654.30188069,5934100
668,2458654.30188128,5863800
669,2458654.30188188,5808000
670,2458654.30188283,5772600
671,2458654.30188307,5701900
672,2458654.30188367,5684100
673,2458654.30188425,5719800
674,2458654.30188487,5731900
675,2458654.30188572,5750400
676,2458654.30188604,5796000
677,2458654.30188665,5782600
678,2458654.30188724,5875500
679,2458654.30188782,5905100
680,2458654.3018887,5876500
681,2458654.30188902,5932900
682,2458654.3018896,5922000
683,2458654.3018902,5818400
684,2458654.3018908,5875300
685,2458654.30189161,5867000
686,2458654.30189198,5817900
687,2458654.30189257,5771900
688,2458654.30189318,5778100
689,2458654.30189446,5691200
690,2458654.30189447,5703500
691,2458654.30189505,5681800
692,2458654.30189556,5704100
693,2458654.30189615,5798200
694,2458654.30189726,5837900
695,2458654.30189733,5851300
696,2458654.30189792,5914000
697,2458654.30189853,5949600
698,2458654.30189913,5873700
699,2458654.30190025,5885400
700,2458654.30190031,5859900
701,2458654.30190091,5826000
702,2458654.30190153,5805900
703,2458654.3019021,5804100
704,2458654.30190321,5747400
705,2458654.30190328,5728800
706,2458654.30190388,5781800
707,2458654.30190447,5808100
708,2458654.30190507,5820900
709,2458654.30190609,5876800
710,2458654.30190625,5855300
711,2458654.30190684,5873700
712,2458654.30190743,5917700
713,2458654.30190804,5926000
714,2458654.30190915,5887000
715,2458654.30190922,5827800
716,2458654.30190986,5846900
717,2458654.30191041,5869500
718,2458654.30191101,5823600
719,2458654.30191196,5828500
720,2458654.30191219,5750400
721,2458654.30191278,5786800
722,2458654.30191339,5884600
723,2458654.30191397,5814700
724,2458654.30191502,5843000
725,2458654.30191516,5887200
726,2458654.30191577,5926200
727,2458654.30191636,5908400
728,2458654.30191696,5908600
729,2458654.30191791,5890100
730,2458654.30191814,5914100
731,2458654.30191874,5884100
732,2458654.30191933,5833500
733,2458654.30191993,5847100
734,2458654.30192096,5878600
735,2458654.3019211,5878800
736,2458654.3019217,5879200
737,2458654.3019223,5898600
738,2458654.30192291,5861900
739,2458654.30192386,5922600
740,2458654.30192409,5914700
741,2458654.30192473,5913300
742,2458654.30192528,5877500
743,2458654.30192587,5888300
744,2458654.30192699,5872000
745,2458654.30192706,5849100
746,2458654.30192765,5848400
747,2458654.30192825,5828500
748,2458654.30192883,5863900
749,2458654.30192981,5879200
750,2458654.30193004,5908400
751,2458654.30193061,5892600
752,2458654.30193121,5901300
753,2458654.30193182,5876700
754,2458654.30193277,5860100
755,2458654.301933,5864200
756,2458654.30193359,5836600
757,2458654.30193419,5846100
758,2458654.30193478,5828300
759,2458654.30193566,5827700
760,2458654.30193597,5774700
761,2458654.30193657,5843800
762,2458654.30193715,5891600
763,2458654.30193775,5906700
764,2458654.3019387,5892700
765,2458654.30193894,5921100
766,2458654.30193954,5940900
767,2458654.30194014,5876000
768,2458654.30194072,5857900
769,2458654.30194168,5818500
770,2458654.30194191,5837300
771,2458654.30194251,5873800
772,2458654.30194311,5888200
773,2458654.3019437,5898600
774,2458654.30194465,5964000
775,2458654.3019449,5930100
776,2458654.30194548,5871300
777,2458654.30194608,5899400
778,2458654.30194668,5854200
779,2458654.30194763,5852000
780,2458654.30194786,5889000
781,2458654.30194845,5896000
782,2458654.30194906,5873300
783,2458654.30194964,5938300
784,2458654.30195052,5899400
785,2458654.30195085,5861500
786,2458654.30195143,5865000
787,2458654.30195201,5872500
788,2458654.30195262,5864700
789,2458654.30195349,5859300
790,2458654.30195382,5886700
791,2458654.30195441,5795600
792,2458654.30195499,5811700
793,2458654.30195559,5889800
794,2458654.30195647,5817300
795,2458654.30195677,5853300
796,2458654.30195737,5896800
797,2458654.30195796,5973300
798,2458654.30195856,5891400
799,2458654.30195942,5895900
800,2458654.30195974,5859500
801,2458654.30196034,5861000
802,2458654.30196094,5849500
803,2458654.30196154,5869000
804,2458654.30196235,5821500
805,2458654.30196272,5860400
806,2458654.30196332,5872000
807,2458654.30196392,5868500
808,2458654.30196508,5885400
809,2458654.3019651,5908800
810,2458654.3019657,5865600
811,2458654.30196628,5861300
812,2458654.30196688,5813200
